,Bulter,,,,,,,,,SOE(Indonesia),,,,,,,,,,,,,,,,,Filter (Ethiopia Guji Sakicha Natural),,,,,,,,
,Weigh in,Weigh out,Ratio,TDS,Brix,Extraction,Roast Date,Flavor / Remark,Tune by,Weigh in,Weigh out,Ratio,Grind Size,TDS,Brix,Extraction,Roast Date,Flavor / Remark,Tune by,Weigh out,Ratio,TDS,Brix,Extraction,Roast Date,Flavor / Remark,Weigh in,Drip volume,Weigh out,Ratio,TDS,Brix,Extraction,Roast Date,Flavor / Remark
2021/11/1,19,46,2.4,8.65,10.47,20.9,12/10,"yuzu , tea finish ",,20,46.7,2.335,/,8.72,10.55,20.3612,12/10,,,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/11/2,18.7,43,2.3,8.66,10.48,19.9,19/10,"dark chocolate, hazelnut, Caramel ",,20,43,2.15,/,8.72,10.55,18.748,12/10,"Tangerine , tea finish ",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/11/3,19,43,2.3,8.85,10.70,20.0,19/10,"Dark chocolate, almond",,20,46,2.3,/,8.19,9.999.93,18.837,12/10,"tangerine, tea finish",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/11/4,18.5,45,2.4,8.47,10.26,20.6,19/10,"Almomd, sweet caremel, dark chocolate",,20,50.5,2.525,1.8,8,9.7,20.2,12/10,"tangerine, tea finish",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/11/5,18.8,45,2.4,8.88,10.74,21.3,19/10,"Almomd, sweet caremel, dark chocolate",,20,49,2.45,1.3,8,9.7,19.6,12/10,"Mandarin, tea finish ",,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/11/6,19.2,38,2.0,10.07,12.09,19.9,19/10,Milke chocolate ,,20,42,2.1,1.3,9.35,11.27,19.635,12/10,orange peel,,,#DIV/0!,,,#DIV/0!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/11/7,19.2,38,2.0,9.70,11.68,19.2,19/10,Chocolate,Simon,20,49,2.45,1.3,8.42,10.2,20.629,12/10,"Lemon peels, tea finish",Simon,,#VALUE!,,,#VALUE!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/11/8,19.5,38,1.9,10.10,12.14,19.7,26/10,"Almond,milk chocolate",Ellen,20,45,2.25,0.8,8.42,10.2,18.945,12/10,"Lemon, orange peel, light tea finishing",Ellen,,#VALUE!,,,#VALUE!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/11/9,19,38.2,2.0,10.09,12.12,20.3,26/10,Milk chocolate ,Mandy,20,46,2.3,1.2,8.74,10.58,20.102,12/10,lemon peels,Mandy,,#VALUE!,,,#VALUE!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/11/10,19.2,41,2.1,9.68,11.65,20.1,26/10,"Almond, sweet caremel, dark chocolate",Ellen,20,48,2.4,1.2,8.26,10.02,20.976,12/10,"Lemon, orange, orange peels, light tea aftertaste",Ellen,,#VALUE!,,,#VALUE!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/11/11,19.2,38.8,2.0,9.39,11.32,19.0,26/10,"Almond, chocolate",mandy,20,48.6,2.43,1.3,8.53,10.33,20.7279,26/10,Lemon tea ,Mandy,,#VALUE!,,,#VALUE!,,,,,,#DIV/0!,,,#DIV/0!,,
2021/11/12,19,38,2.0,9.72,11.69,19.4,26/10,Almond sweet chocolate ,Simon,20,49.8,2.49,1.5,7.56,9.2,18.8244,26/10,"lemon peels, light tea finish",simon,,#VALUE!,,,#VALUE!,,,,,,#DIV/0!,,,#DIV/0!,,
