,Bulter,,,,,,,,SOE(Indonesia),,,,,,,,SOE(Kenya),,,,,,,,Cold Brew (Hello World),,,,,,,,Filter (Ethiopia Guji Sakicha Natural),,,,,,,,
,Weigh in,Weigh out,Ratio,TDS,Brix,Extraction,Roast Date,Flavor / Remark,Weigh in,Weigh out,Ratio,TDS,Brix,Extraction,Roast Date,Flavor / Remark,Weigh in,Weigh out,Ratio,TDS,Brix,Extraction,Roast Date,Flavor / Remark,Weigh in,Weigh out,Ratio,TDS,Brix,Extraction,Roast Date,Flavor / Remark,Weigh in,Drip volume,Weigh out,Ratio,TDS,Brix,Extraction,Roast Date,Flavor / Remark
 ,20,57.2,2.9,6.32,7.74,18.1,24/8,,,,#DIV/0!,,,#DIV/0!,,,20,53.2,2.7,7.60,9.25,20.2,24/8,,18,180,10.0,,,0.0,13/5,,,,,#DIV/0!,,,#DIV/0!,,
2021/9/2,19,38.9,2.0,9.14,11.03,18.7,24/8,,,,#DIV/0!,,,#DIV/0!,,,20,54.2,2.7,7.96,9.66,21.6,24/8,,18,180,10.0,,,0.0,13/5,,,,,#DIV/0!,,,#DIV/0!,,
2021/9/3,18.8,38.8,2.1,10.75,12.88,22.2,24/8,,,,#DIV/0!,,,#DIV/0!,,,20,50.2,2.5,7.62,9.27,19.1,24/8,,18,180,10.0,,,0.0,13/5,,,,,#DIV/0!,,,#DIV/0!,,
2021/9/4,18.8,39.9,2.1,9.48,11.42,20.1,24/8,,,,#DIV/0!,,,#DIV/0!,,,20,51.2,2.6,7.77,9.44,19.9,24/8,,18,180,10.0,,,0.0,13/5,,,,,#DIV/0!,,,#DIV/0!,,
2021/9/5,18.8,39.4,2.1,10.30,12.36,21.6,24/8,,,,#DIV/0!,,,#DIV/0!,,,20,51,2.6,7.50,9.13,19.1,24/8,,18,180,10.0,,,0.0,13/5,,,,,#DIV/0!,,,#DIV/0!,,
2021/9/6,18.8,39.9,2.1,9.70,11.68,20.6,24/8,,,,#DIV/0!,,,#DIV/0!,,,20,52,2.6,7.72,9.39,20.1,24/8,,18,180,10.0,,,0.0,13/5,,,,,#DIV/0!,,,#DIV/0!,,
2021/9/7,20,36.3,1.8,11.02,13.12,20.0,24/8,,,,#DIV/0!,,,#DIV/0!,,,20,50.3,2.5,7.93,9.63,19.9,24/8,,18,180,10.0,,,0.0,13/5,,,,,#DIV/0!,,,#DIV/0!,,
2021/9/8,19,38.4,2.0,9.31,11.23,18.8,31/8,,,,#DIV/0!,,,#DIV/0!,,,20,47.5,2.4,8.26,10.02,19.6,24/8,,18,180,10.0,,,0.0,13/5,,,,,#DIV/0!,,,#DIV/0!,,
2021/9/9,19,38.2,2.0,9.18,11.07,18.5,31/8,,,,#DIV/0!,,,#DIV/0!,,,20,52.6,2.6,7.54,9.18,19.8,24/8,,18,180,10.0,,,0.0,13/5,,,,,#DIV/0!,,,#DIV/0!,,
